product,family,category,sources,evidence,confidence,recommended_website_status
"Perforated Rolling Shutters","Rolling Shutters","Single-Wall Rolling Shutters","SAS-own; S1; S2","SAS published perforated-shutters.html; live in navigation.",High,CONFIRMED
"Polycarbonate Rolling Shutters","Rolling Shutters","Single-Wall Rolling Shutters","SAS-own; S2","SAS published two pages (polycarbonate-rolling-shutters.html with a full specification table, and polycarbonate.html); both live. S2 lists Transparent Rolling Shutters.",High,CONFIRMED
"Insulated Double-Wall Rolling Shutters","Rolling Shutters","Insulated Rolling Shutters","SAS-own; S2","SAS published g-i-rolling-shutters.html headlined 'Insulated Rolling Shutters'; live in navigation. Single-wall vs double-wall insulated split confirmed by S2. NOTE: that page's title tag says 'Galvanize Rolling Shutter' while its heading says 'Insulated' — product identity confirmed, exact name pending.",Medium,CONFIRMED
"Fire Rated Rolling Shutters","Fire & Safety Doors","Fire Rated Shutters","SAS-own; S1; S2; S10","SAS published fire-proof-rolling-shutters.html with a galvanised double-wall silicon-insulated specification, plus a second confirmed variant page (fire-proof-shutters.html); both live. Ratings framework from S10 (IS 3614, BS 476 Pt 22, EN 1634-1). No rating is published for SAS because no test certificate has been supplied.",High,CONFIRMED
"Fire Rated Sliding Doors","Fire & Safety Doors","Fire Rated Doors","SAS-own; S2","SAS published fire-sliding-door.html with leaf, lead sheet and vision panel specifications; live in navigation. S2 lists Fire Rated Sliding Doors.",High,CONFIRMED
"Automatic Sliding Gates","Automatic Gates","Sliding Gates","SAS-own; S1; S2","SAS published sliding-gate.html; live in navigation. Tracked and cantilever variants named by S1 and S2.",High,CONFIRMED
"Telescopic Sliding Gates","Automatic Gates","Sliding Gates","SAS-own; S1; S2","SAS published telescoping-gate.html; live in navigation. S1 and S2 both list Telescopic Sliding Gates.",High,CONFIRMED
"Automatic Swing Gates","Automatic Gates","Swing Gates","SAS-own; S1; S2","SAS published swing-gate.html; live in navigation. NOTE: that page's body text described a different product; identity confirmed by URL, title and category, copy rewritten from research.",High,CONFIRMED
"Retractable Gates","Automatic Gates","Retractable Gates","SAS-own; S1; S2","SAS published retractable-gates.html with a full specification table (length, height, tube sizes, supply, power, speed, remote range, track options); live in navigation.",High,CONFIRMED
"Automatic Sliding Glass Doors","Entrance Automation","Automatic Sliding Doors","SAS-own; S2; S3","SAS published sliding-glass-door.html and a matching operator page; live in navigation. Door type confirmed by S2 and S3.",High,CONFIRMED
"Dock Levellers","Loading Bay Equipment","Dock Levellers","SAS-own; S1; S2; S6","SAS published dock-levellers.html with platform, pit, working range, deck material, power and temperature specifications; live in navigation. EN 1398 cited by S1 as the applicable standard; not claimed for SAS without a certificate.",High,CONFIRMED
"Dock Shelters & Dock Houses","Loading Bay Equipment","Dock Shelters & Houses","SAS-own; S1; S2; S6","SAS published dock-house.html describing an aluminium alloy door shelter with wind loading and service life figures; live in navigation. Shelter/house taxonomy from S6 and S1.",High,CONFIRMED
"Tripod Turnstiles","Access Control & Vehicle Barriers","Pedestrian Access Control","SAS-own; S2; S7; S8","SAS published tripod-turnstile.html with catalogue renders of three unit models; live in navigation. Category and resistance grading from S7 and S8.",High,CONFIRMED
"Flap Barriers","Access Control & Vehicle Barriers","Pedestrian Access Control","SAS-own; S2; S7; S8","SAS published flap-barrier.html with catalogue renders of four lane models; live in navigation. Speed-gate/flap category confirmed by S7 and S8.",High,CONFIRMED
"Full Height Turnstiles","Access Control & Vehicle Barriers","Pedestrian Access Control","SAS-own; S2; S7; S8","SAS published full-height-barrier.html with catalogue renders of single and twin rotor units; live in navigation.",High,CONFIRMED
"Bollards","Access Control & Vehicle Barriers","Vehicle Access Control","SAS-own; S2; S7","SAS published bollard.html with product photography of several bollard models; live in navigation. Fixed/removable/automatic grading from S7.",High,CONFIRMED
"Boom Barriers","Access Control & Vehicle Barriers","Vehicle Access Control","SAS-own; S1; S2; S7","SAS published boom-barriers.html and it remains live on the server, but it was commented out of the site navigation — so the page exists while the line was not being promoted. Needs a yes/no from the business.",Medium,POTENTIAL
"Retractable Barriers","Access Control & Vehicle Barriers","Vehicle Access Control","SAS-own; S2","SAS published retractable-barriers.html; live on the server but commented out of navigation, and the page carried a placeholder image. Needs confirmation.",Low,POTENTIAL
"Side Motors — Chain Drive","Motors & Automation","Shutter Operators","SAS-own; S2","SAS published side-motor-with-chain.html; live on the server but the whole Motors line was commented out of navigation. No torque, power or duty figures were published.",Medium,POTENTIAL
"Side Motors — Gear Drive","Motors & Automation","Shutter Operators","SAS-own; S2","SAS published side-motor-with-gear.html; live on the server, line commented out of navigation. No performance figures published.",Medium,POTENTIAL
"Central Motors","Motors & Automation","Shutter Operators","SAS-own; S2","SAS published central-motor.html; live on the server, line commented out of navigation. No performance figures published.",Medium,POTENTIAL
"Tubular Motors","Motors & Automation","Shutter Operators","SAS-own; S2","SAS published tubular-motor.html; live on the server, line commented out of navigation. No performance figures published.",Medium,POTENTIAL
"Australian Type Motors","Motors & Automation","Shutter Operators","SAS-own","SAS published australian-type-motor.html; live on the server, line commented out of navigation. Term is used in the Indian shutter trade but was not corroborated on any manufacturer site read in this research.",Low,POTENTIAL
"Sliding Gate Operators","Motors & Automation","Gate Operators","SAS-own; S1; S2","SAS published sliding-gate-motor.html; live on the server, line commented out of navigation.",Medium,POTENTIAL
"Industrial Sliding Gate Operators","Motors & Automation","Gate Operators","SAS-own","SAS published industrial-sliding-gate-motor.html; live on the server, line commented out of navigation. NOTE: that page is headlined 'Retractable Barriers', contradicting its own address — product identity is inferred from the URL and needs confirmation.",Low,POTENTIAL
"Swing Gate Operators","Motors & Automation","Gate Operators","SAS-own; S1; S2","SAS published swing-gate-motor.html; live on the server, line commented out of navigation.",Medium,POTENTIAL
"Sectional Door Operators","Motors & Automation","Door Operators","SAS-own; S2","SAS published sectional-door-motor.html; live on the server, line commented out of navigation, and the page carried a placeholder image.",Low,POTENTIAL
"Automatic Sliding Door Operators","Motors & Automation","Door Operators","SAS-own; S2; S3","SAS published sliding-glass-door-motor.html; live on the server, line commented out of navigation. Pairs with the confirmed Automatic Sliding Glass Doors product.",Medium,POTENTIAL
"Hangar Doors (steel sliding, PVC fabric)","—","—","S1; S2; S3","Offered by both major Indian comparators and by S3. No evidence SAS supplies them.",n/a,NOT CONFIRMED
"Cold Storage / Freezer Room Doors","—","—","S1; S5","S1 publishes a full cold storage door range (sliding, hinged, swing, guillotine, to-and-fro); S5 publishes cold-store high speed variants. No evidence SAS supplies them, though its insulated shutters and high speed doors serve adjacent needs.",n/a,NOT CONFIRMED
"Industrial Sliding Doors (as a distinct line)","—","—","S1; S2","Published by both Indian comparators. SAS published only a fire-rated sliding door, which is a different product.",n/a,NOT CONFIRMED
"Revolving Doors","—","—","S3; S8","Core to S8's range. No evidence SAS supplies them.",n/a,NOT CONFIRMED
"Interlocking Security Portals / Mantraps","—","—","S7; S8","Top tier of the pedestrian security grading. No evidence SAS supplies them.",n/a,NOT CONFIRMED
"Road Blockers and Tyre Killers","—","—","S7","Part of S7's High Security range. No evidence SAS supplies them.",n/a,NOT CONFIRMED
"Vehicle Restraint Systems","—","—","S1; S6","Standard loading bay equipment for S6 and referenced by S1. No evidence SAS supplies them.",n/a,NOT CONFIRMED
"Mobile Dock Ramps and Lift Tables","—","—","S1","Published by S1 under loading bay equipment. No evidence SAS supplies them.",n/a,NOT CONFIRMED
"Cleanroom Hermetic Doors","—","—","S3; S5","Named by S3 (hermetic) and S5 (Pharma-Seal, Plexline Clean). No evidence SAS supplies them.",n/a,NOT CONFIRMED
"ATEX and Machine-Protection High Speed Door Series","—","—","S1; S4","EFAFLEX EX/MS series and Gandhi Prime Atex/Machine. No evidence SAS supplies them.",n/a,NOT CONFIRMED
"Automatic Swing Pedestrian Doors","—","—","S2; S3","Published by S2 and S3. SAS published a swing gate operator but no automatic pedestrian swing door.",n/a,NOT CONFIRMED
"Stainless Steel and Galvalume Rolling Shutters","—","—","S2","Two further single-wall slat materials published by S2. No evidence SAS supplies them.",n/a,NOT CONFIRMED
